Presidents' weekend, all that dirty laundry, sorted by mothers,
 old granny teaches, her secret , rice cakes perfectly round,
 have you forgotten, blooming season's over , roses of sharon,
 pretending to watch, the harvest moon , rice field gazing ,
day moon, the woman with silver hair, steps back into the shade single,
 his butt cooled, by the spring breeze, roof thatcher spring mist,
 the traveling geese, check it out thoroughly , suffuse my day with warmth,
 is that dew, the horse's tears , rice blossoms sweaty,
 the dogs, make way for me , snowy road,
 weak tea , every day the butterfly,stops by the milky way,
Mid morning coffee, sipped from a chipped mug old, so comforting,
 growing old , one drop of sweat, soon another till its bloom,
low sky, we saw branches, somewhere,
 even the cloudbursts, hate it , rice field by my gate,
 wind shakes the bamboo grass , mother deer, returns,
 the big kite, cuts a brave figure , sunset,
hail on the train, a young woman's leg, straddles her boyfriend's nots,
 a great thing, under the harvest moon , rice blossoms ,
 young buck , while the gods are away, sleeping and carousing,
 harvest moon , wherever you are, someone's annoyed,
 glimpsing suspicious me, the deer sounds, the alarm,
waiting for my illness to end, November rain, seeps slowly slowly into the ground,
 someone else's child, just ten or thereabouts , rice planting song,
A rippled moon , In the pond, A sinking stone,
alphabet soup , my best haiku ever,digested,
autumn with alzheimer , she breaks the bread, carefully,
between sips, reading a book , about sake,
brown belt, his skin, between top and pants,
covered sky , Full moon seen just, On the calendar,
forget me nots,our white dog shakes off,pale blue stars,
lonesome train whistle, suddenly grandpa's mind, becomes sharp again ,
midnight , before the 12th shot, Flush,
one small step, I trace my toe in sand , dream of lunar dust,
terminal, his favorite ice cream , melts in the cup,
that cricket , it's THERE, or THERE,
the laughter of children, running uphill , Gettysburg,
wild wind, on dry sedge, what more on her mind,
winter day's end, a bowl of brown rice miso, warm in the hands,
winter ennui, coming down with a slight , touch of clouds ,
muezzin's call, a one,horned cow pushes at the hotel gate,
East River nice June day, a bank rat comes out, to look around,
Saturday night fog, only when they talk, I notice,
morning haze, I finally adjust, the tv picture,
gust of wind, a woman's face lights up, by the cooking fire,
this morning, wet balcony, pick up the leftover wax candle,
morning blue sky, a baker cleans, his oven,
turning leaves red, white and blue bunting, covers the mailbox ,
Sunday morning, two dogs sniff each other, while their owners chat,
During Creation, a spider, down from the hanger,
early in the morning, looking at fog, partner after the wedding early morning,
blue eyes, she drinks water source , eve of summer,
her plastic lifelines, in harsh hospital light , even fresh flowers,
yule carols, droont oot, ferris wheelers' skirls,
the cold cry, of a magpie, first light of day,
a crow, repeats its call , first morning,
Snail shells, empty , first shoots,
wave sound, the smooth stone, fits my hand,
cocktail lounge, the more we order, the more the waitress leans forward,
dormant, next to the orange fish , full moon of November,
at the corner of Avenue, every morning at 9, he closes his tent,
June cold snap,the next door neighbor's, house for sale,
crickets' songs, in the pitch dark night, how many secrets,
before my door, your footprints in the snow from last night, how to absorb these echoes,
the heat wave, thunder and lightening, I go take a shower,
macro furrow, the librarian, I look down,
eating chicken, the wish bone so small, I wish better weather,
commotion, in the computer's belly , I'm hungry,
rice green pond, dark herons stand, in an arc,
chilly tea time, finding new cyclamen leaves, in an old plant,
burnt down house, yellow elders bloom, in the garden,
summer love, a faded red tshirt rots, in the gutter,
wedding anniversary, my parent's ashes, together in the moonlight,
traffic jam, three saffron robed men,munch nuts in their SUV,
adding, clouds clouds, incinerator,
half dark sky, a slow roll of thunder, joins the cicada,
sunrise, the granite of the skyline, lightens up the rooftops,
Handel's Messiah, the same tapes my late,grandmother listened to,
mid winter thaw, an unscratched, lottery ticket,
lit caunles, tears as they mouten , Nagasaki day,
cloudy, the metal edge whistle, of a dove's flight,
cold April rain , the sediment athte bottom, of a wine glass,
for seconds between, flood rains, the sunny colours of market mangoes,
fair weather clouds, an ultrasound, of my next grandchild,
rumble of thunder, the hawk like flight, of the pigeon,
spent dandelions, a weather beaten lawn chair, on the bare patch ,
anti war demo, snowflakes melt, on the horse's backside,
orthopaedic clinic, a three legged chair, outside the entrance,
sky, glittering stars , pavement,
Still under white sheet, his body four hours later, Rain beats on pavement,
stood up, by a part time lover, shooting star,
Jam, on the birthday card , signed Baby,
his old hands, working the soil , smell of brewed tea,
one week before Christmas, a three legged dog, sniffs the trash,
Now the shore is grey, and the wind is sharp with rain, Some day we'll sit close,
coortin kipple, a coffee atween thaim , stame heavin,
throuch gean flourish, the weet , sterny plainstanes,
long distance train, men on the platform, talk on their mobiles,
New York September,the one way sign points toward, the billowing cloud,
storm,washed sky , the bird songs,
equinox , an 18 wheeler crossing, the double yellow line,
her well tanned shoulders, wrapped in a sweater , the end of summer,
cold May moon, the long road stretches out of sight,deer cross quietly in the mist,
following me, downriver to work, the pastel moon ,
mid day heat, my eyes follow, the swallow's flight,
skyscraper, a window washer squeegees, the thunderhead,
cricket song, softly, outlasting the trucks,
honking through the darkness, long before their shapes, the twilight geese,
when the sun, illuminates the window of the bus, this mosquito is excited,
half mast, september sunshine streams, through green maple leaves,
stuck behind, a schoolbus , thunderclouds,
dense fog, a math teacher re,explains how to clear parenthese,
half way home, a pint of stout, to keep out the cold,
early stars, the weed choked path, to the compost,
half frog pose, I lie and listen, to the rain,
dawn, a Coca Cola sign, turns off,
the river streaks pell mell, on either side of Eel Pie Island, two pied wagtails ,
late October wind, her blond hair flies, along with the leaves,
minus forty six, steam from the coffee, warms my nose,
after the rain , a frog shaped shadow, wavers in the puddle,
approaching storm , my twelve year old's fascination, with war,
moon paved road, I take the lane, without the dogs,
forty six years, writing my name, yellow in snow,
brightening sky, the low from street lamps, still lingers your late night words,
retirement community, speed bumps, in the cusp of the day,
winter driving, Almost blinded, by a sun,
sunrise , a view of the sky through, a worm eaten leaf,
grey day, the mailman passes me, with no have a nice day,
43500, longer on the wall, the blackbird,
43770, while slowly butterfly, is her sun spot,
43822, a minute more, one day less,
 a babbling brook, chills the sake , roses of sharon,
 a baby boy, cries for milk , blossoms at their peak,
 a bamboo flute, kamakura style rice planters, in umbrella hats,
 a barracks amid waves, of rushes gone to seed , autumn gale,
 a bat, from the nape of the streetwalker's, neck,
 a bat , buzzing the ear, of the hooker,
 a bat flits, under my sleeve , moonlit night,
 a battle royal, with radishes , children,
 a bedroom mosquito, poof , in the flame,
 a bedroom mosquito's, first buzz, in the flame,
 a beggar child, walking and flying, a kite,
 a beggar goes first, praising buddha , with parasol,
 a beggar offers, his services , evening cool,
 a beggar receives, alms the year's first, laughter,
 a beggar's new year's song, too, in the mist,
 a bell is clanging, nonstop , autumn wind,
 a bevy of teahouses, suddenly , cherry blossoms,
 a bevy of teahouses, built overnight , cherry blossoms,
 a big crop, for my neighbor's pear tree , summer moon,
 a big field, with a keep out sign , picking herbs,
 a big field, by a little village , poppies,
 a big firefly, lightly nimbly, passes by,
 a big house , even for the dog, summer's first bonito,
 a big leap , the fleeing burglar, and a cuckoo,
 a big pig, sticks out his face , blooming rushes,
 a big rain , this harvest moon night, an ordinary mountain,
 a big rain , early new year's day, it falls,
 a big rain , on the moon gazing boat, watching it fall,
 a big rosary, 'round his neck , withered fields,
 a big snow , the exit tunnel, is my lucky direction,
 a big snow , straight above me, the milky way,
 a big snow , the voices of people, trapped inside,
 a bird at my feet, takes off , spring mountain,
 a bird making a nest, a temple being built , when will they finish ,
 a bird of prey, and smoke , over withered fields,
 a bird takes flight , a shout in the duckweed, autumn wind,
 a bit hidden, by the pine tree , maiden flowers,
 a bit of fair weather , little birds call people, to yoshino,
 a bit of gambling, to ward off mosquitoes this year , spring in the village,
 a black butterfly, also flits by , autumn wind,
 a blind child , to his right to his left, steady winter rain,
 a blizzard, of deutzia blossoms, on the fence,
 a blooming pink , the big bee, stings it ,
 a boat's sail, gradually takes shape , billowing clouds,
 a body of dust, lighter than dust , little butterfly,
 a bon festival moon, but nobody visiting, the graves,
 a boor with the ladies, but he puts one on , thin summer kimono,
 a boulder that looks, like an old woman asleep , autumn evening,
 a bowl to catch, the cloudburst , my hut,
 a box lunch, in a tree's crotch , a nightingale sings,
 a branch of blooming plum, awaits the thief , evening,
 a broken bowl also, floats downstream , tachida river,
 a bulbul bird bustles, around inspecting , vegetables hung to dry,
 a burned field, but soon he's singing , katydid,
 a busy time , even the mountain's moss, in full bloom,
 a butterbur leaf, on his head listen ,  cuckoo ,
 a butterbur leaf, pops open a hole , the heat,
 a butterfly, stuck fast to amida, buddha's cheek,
 a butterfly a cat, deep asleep , temple sitting room,
 a butterfly comes, to my good for nothing, hut,
 a butterfly deigns, to come and dance , summer flowers,
 a butterfly emerges, and flies away , morning moon,
 a butterfly flits, as if wanting nothing, in this world,
 a butterfly flits , even in grassy shade, a hot bath's ready,
 a butterfly flits , hot tea hot water, and sake for sale,
 a butterfly flits , two houses with piss poor, gardens,
 a butterfly flits , an umbrella hat and kimono, on the rock,
 a butterfly flits , the vast blue sky, over tiger gate,
 a butterfly flits , even shinran's pine, seems to know,
 a butterfly my companion, through nana field, we wander,
 a butterfly on the wet, horse's leg, now and then sleeps,
 a calf's face, stretches forward , camellias,
 a candle standing, on the rock , grafting the branch,
 a candy stand in a nook, of suminoe , thick summer grasses,
 a cane strikes stone, clack clack , cold moon,
 a cat in heat shimmers, also follows, the god of wandering,
 a catfish caught, in a gourd , summer kimono,
 a celebration , this year's mosquitoes too, feast,
 a charcoal fire, happy and well , the thicket next door,
 a charcoal kiln smokes , doesn't feel, like twelfth month,
 a cherry blossom, blizzard , the dog's bowl,
 a chestnut falls, plop at the dog's, pillow,
 a chestnut hit, an old man , a story told for ages,
 a chicken strolls, through the sitting room , a long day,
 a child buddha, pointing , twelfth month singers,
 a child holds a winnow, over his head , hailstones,
 a child pissing,  look look , cherry blossoms,
 a child writes, in the tray's ashes , a cold night,
 a chill comes down the mountain, a chill comes up , night in my hut,
 a chill running, up my spine , chilly clouds,
 a chill runs up, my spine , echigo mountains,
 a chilly wind, a chilly autumn , year of the dragon,
 a chrysanthemum blooms , just like me, a would be hermit,
 a chubby girl, offered pickles , soot sweeping,
 a cicada, cools it down , shade of the house,
 a cicada chirrs , covering the pears, a paper bag,
 a cicada chirrs , rokugatsu village's, enten temple,
 a cicada chirrs , my shadow's umbrella hat, makes a halo ,
 a cicada chirrs , in the soon to be cut, pine tree,
 a cicada chirrs , the pinwheel so utterly, red,
 a cicada chirrs , there and there , stars appear,
 a cicada chirrs , suddenly light breaks, toward the lake,
 a cicada chirrs , then flies in a flash, up my sleeve,
 a clear blue sky, at high noon , pounding cloth,
 a clear sky, at high noon , walking out alone,
 a clear view, in the soup kettle , milky way,
 a cloud zigzags, above where i lie , milky way,
 a cloudburst, and then right away, fifth month rain,
 a clumsy festival , my love wrecks her chopsticks, of plume grass,
 a clumsy job , a frog laughs, at my grafted tree,
 a cold clear night , a winter prayer for the plum tree, too,
 a cold moon, facing the cold, mountain temple,
 a cold morning , but the same pine tree, as last year,
 a confusing mix, of rain and snow , spring equinox,
 a cool breeze , the katydid brims, with energy,
 a cool house, the pure land's, west gate,
 a cool wind today, the first of the month , mount fuji,
 a corrupt world, in its latter days , but cherry blossoms ,
 a cowherd , his flute and evening's, cloth pounding mingle,
 a cozy wood fire , the buddhas too, all lined up,
 a cozy wood fire , the high priest also, takes a seat,
 a crab pinches, the leaf of a reed , fifth month rain,
 a crab too, climbs the pine tree , evening cool,
 a cracked kettle, and the rising sun , this too is spring,
 a cricket, tickling my face, passes by,
 a cricket rides, unsteadily , horse shaped eggplant,
 a crossroads sermon, gibberish, spring peace,
 a crossroads temple , one rice seedling, one vegetable,
 a crow's feather, on the toasted rice cake , spring rain,
 a crying deer, yearns for its mother , evening cloth pounding,
 a cuckoo , the bridge beggar, listens too,
 a cuckoo sings, the little boat goes, swish swish ,
 a custom made mist, just for it , nettle tree,
 a day for wandering, a day for haiku , spring rain,
 a day to celebrate, snow country's snow , a pale blue sky,
 a death bell too, can be heard , misty field,
 a decent spring, has arrived perhaps , snow at my gate,
 a deer cries, and the insects aren't sleeping, either,
 a defiled priest , before the cherry blossoms, he stands,
 a deutzia shrub, even without blossoms , for sale,
 a dewdrop pearl , i pinched it into, a buddha,
 a dewdrop spills , the bamboo shoot, shivers,
 a dewdrop world , dewy pinks, big and little,
 a dirty priest, in a red skullcap , he's called,
 a dismount your horse sign , the cherry blossoms', front door,
 a dog rolling, in the highway , a long day,
 a doll is made, to bring my tea , cool air at the gate,
 a drab color, but it's the year's, first sky ,
 a dragonfly copies, the red leaves , tatsuta river,
 a dumping ground, for the first snow , my backyard,
 a face, like everyone else's , the snail,
 a face pokes out, the winter quilt ,  hey vegetable man ,
 a farting contest, under the moonflower trellis , cool air,
 a farting contest , harvest moon night, in the hut,
 a fast day , drawn by the uproar, to ueno,
 a finger pointing, to the west , autumn wind,
 a fishing boat rows, over blossoms , a skylark,
 a fistful, spread out for the keg , red leaves,
 a fistful of fallen, cherry blossoms too , gamblers' pot,
 a five inch nail , the pine tree, is weeping,
 a five or six inch, red mandarin orange , winter moon,
 a flea, on the little plague god, floats away,
 a flea jumps, in the laughing buddha's, mouth,
 a fleeting moonlit, wedding night , frogs singing,
 a flitting butterfly, outstrips me , paper sandals,
 a flitting butterfly, and green leafed cherry tree, roped off,
 a flock of plovers, gangs up on the dog, passing through,
 a flood , the tall dayflower keeps, her cool,
 a flower big, as an umbrella hat , deep tree shade,
 a flower big, as an umbrella hat , flitting firefly,
 a flower big, as an umbrella hat , fly there firefly ,
 a flower shaped, like a bon lantern , purification ritual,
 a fluffy pillow, for the young buck , red leaves,
 a flute plays , suddenly night's coldness, begins,
 a flying butterfly, broken by chopsticks , wild plum,
 a food thief, in his spare time , lover cat,
 a fool to think, the mouse wouldn't eat it , paper fan,
 a foreigner watches, the rice planting too , flutes and drums,
 a four or five foot, yellow rose trembles , smudge pot smoke,
 a free cormorant, also comes to feast , at the cage,
 a fresh made dewdrop, is cool too , moon at the gate,
 a fringe, for the emperor's sleeve , heads of rice,
 a frog squats, in his open palm , a holy man,
 a frozen bell clangs, on the mountain out back , bedtime,
 a fruitful year's, letter f burning , shinano mountain,
 a fugitive in the temple, caught alive , pheasant,
 a full round, of new year's greetings, at the inn,
 a gang of red, dragonflies , mount kamiji,
 a gathering of stars , children grandchildren, great great grandchildren,
 a gift, from the god of the poor , paper fan,
 a glimpse of moon, over my home village , then clouds,
 a good day, for plowing the rice field , swallows return ,
 a good day eh , fleas dancing, and hopping,
 a good dream, for the year's end , lacquered pillow,
 a good fortune wish, even for the pigweed , paper fan,
 a good man , crossing a mountain to say,  happy new year ,
 a good match , the sickle moon, the cuckoo,
 a good omen , in the west deep red, billowing clouds,
 a good omen , the green rice field's master, crawl outs,
 a good rain , two penny fireworks, in the night,
 a good rain , today's the day to unseal, the new tea,
 a good wind , in it a tiny, mountain of cloud,
 a good wind , beyond the green rice fields, northern mansion,
 a good windbreak, for the waterfowl , mount tsukuba,
 a good world , even from the quince thicket,  happy new year ,
 a good world , crickets ring, a black kite wheels,
 a good world , dewdrop, dribbling down,
 a good world good world , country swallows, and town swallows,
 a goose without companions, flying fast as he can, returns,
 a goose without companions, plodding along, returns,
 a grain of rice, stuck to his cheek , katydid,
 a grain of rice, stuck to his nose , lover cat,
 a great spot, to hear the cuckoo , but mosquitoes ,
 a green lawn , come have a seat, sir pond snail ,
 a green paper, mulberry leaf offered, to the stars,
 a group of women, overtake me , field of violets,
 a gutter , racing over ice, the cooking water,
 a haiku reading, in memoriam , first winter rain,
 a hanging temple bell, a lantern , and a peony,
 a happy night, even among the rushes , a pheasant cries,
 a happy sight , on purification evening, the milky way,
 a harbor, of blooming daffodils , tanjo temple,
 a hard choice , round charcoal nuggets, or white,
 a harsh rain, falls at noon , blossoming mountain,
 a hearty meal, of great japan's rice , cherry blossoms,
 a hedge where no priests, enter , deutzia in bloom,
 a hole made by tokuon's, holy staff , a snake enters too,
 a horseshoe, to steady its butt , the gourd,
 a hot bath, a prayer, then cherry blossoms ,
 a hot day's treasure, they say little clump, of trees,
 a hot night , among bags and burdens, they sleep,
 a hot night's pilgrimage, with song , zenko temple,
 a house, with a rooster crowing , low tide,
 a hundred miles to edo, and his new job , the child servant,
 a katydid, in the scarecrow's gut, singing,
 a katydid walking, searching , my hut's shelf,
 a kimono for a sail, rushing along , little boat,
 a kite , mokubo temple settles, into evening,
 a kite rises, slow and easy , a little village,
 a kyoto suburb , even flying kites, is hard,
 a lacquered tray , whoops , the fly slips,
 a laid off servant at market , his fifty year old face, exposed,
 a late riser, he's slow to leave my window , pheasant,
 a life of running away, running away , summer cicada,
 a light snow, over fields through woods , pilgrims,
 a little boy, shows another child , milky way,
 a little child dressed, like a shinto priest , plum blossoms,
 a little party, in the red leaves , mountain deer,
 a little person, enters the scene , a little butterfly,
 a little smoke, makes a cloud ,  cuckoo ,
 a little tiresome, these blooming flowers , the buddha sleeps,
 a long day , his account book serves, as a pillow,
 a long day , here too everyone's, curled asleep,
 a long day , no smoking allowed, in kogane plain,
 a long day , even getting in the bath, is a chore,
 a long day , no incense, no farts,
 a long day , holy binzuru and blossoms, of sleeping tree,
 a long day , the eel catcher writes pictures, on the water,
 a long day , the dog and the crow, quarreling,
 a long day , my tears of joy, rolling down,
 a long night , the devil in me, torments me,
 a long procession , migrating servants singing, on the main road,
 a long ride , hailstones drumming, umbrella hats,
 a lot of fleeing, a lot of playing , little trout,
 a lovely night lit, with oil lamps , croaking frogs,
 a lucky fox, is barking , hazy moon,
 a lucky fox, comes out of hiding , spring rain,
 a lucky lucky, most lucky day,  cuckoo ,
 a made to order, pale blue , the year's first sky,
 a man , is registered at the inn , a cold night,
 a man emerges, from the roof of a boat , a winter storm,
 a man must be a samurai , though little, you're a hot pepper,
 a man of leisure, lazily sprawls , shadow of new leaves,
 a man pulls a snow sled, a dog atop, the cargo,
 a man sleeping, in a straw raincoat , the lark's wake up call,
 a man wiping, a post , the summer mountain,
 a man's shadow , even on st jizo's monument, winter withering,
 a masterly climb, to the top of the peony , frog,
 a matter of taste , the little bird calls, this old man,
 a meadow butterfly, bombarded by big raindrops, from the eaves,
 a melting escort, for snow in the thicket , spring snow,
 a migrating servant, laid off , his sixty year old face,
 a mirage running, and hiding , withered fields,
 a money making, temple , the peonies in bloom,
 a monk beats his bowl , by now a dent, in the mountain ,
 a mosquito, all day it whines , by my pillow,
 a mosquito whines , an old keg, my pillow,
 a mount fuji, emerges from clouds , first eggplant,
 a mount fuji viewing spot, for barley harvesters , nettle tree,
 a mountain cicada , into my sleeve, he goes,
 a mountain crow, helps the fire setters , little thicket,
 a mountain cuckoo singing , if i could only, sleep ,
 a mountain cuckoo sings,  don't fall off, that horse ,
 a mountain hot bath, slish slosh , a long day,
 a mountain pheasant, ruffling my sleeve, runs away,
 a mountain temple , clouds of red, peonies ,
 a mountain where, no foot has stepped , cherry blossoms,
 a mouth calling fireflies , one, flies in,
 a nail pounding, into sacred wood , winter rain,
 a naked baby, and a crow raise a ruckus , autumn gale,
 a naughty child, joins the adults , siesta,
 a new face, in the flock , rice field geese,
 a new spring, and a monkey , viewed through my cuff,
 a new spring , neither cow nor horse, has trod on it,
 a new spring starting , early so early, turns sour,
 a new summer robe , for a little while, no lice,
 a new tatami mat , fleas jumping, bumpity bump ,
 a new year , an edo born and bred, black pine,
 a new year , until the rain catching stone, dents,
 a new year , the same nonsense, piled on nonsense,
 a new year begins , before sunrise, a pine decorated boat,
 a new year's toast, on his shaved head , he goes forth,
 a new year's toast, for his wrinkled face , laughter,
 a new year's wreath, for the crossroads buddha's, head,
 a night for pounding, the love making clothes , hut's stone,
 a night of fireflies, has arrived , my spring planted willow,
 a night sermon, with gestures , summer trees,
 a nightingale, is singing , in the kettle,
 a nightingale , and made to order, plum blossoms,
 a nightingale , plum trees in the countryside, should be blooming,
 a nightingale , touring the countryside, should be fun,
 a nightingale arrives, unexpectedly , gamblers,
 a nightingale makes his rounds, eave to eave , a spring day in winter,
 a nightingale singing, included in the price , five penny tea,
 a nightingale sings , the empty palace, his field,
 a nightingale sings , the east gate, of amida's pure land,
 a nightingale wipes, his muddy feet , plum blossoms,
 a nightingale's shadow, singing , bright window,
 a no men allowed sign, on the gate , plum blossoms,
 a noble effort , the scraggly hedge too, has fresh green leaves,
 a noon nap, on a good day , first rainbow,
 a nuisance , mountain cherry blossom, rumors fly,
 a one foot waterfall, splashes too , evening cool,
 a parting gift, of wildflowers , seeing off the horse,
 a penny's worth of, cold water the horse, drinks too,
 a perfect match, for the crazy cat , peony,
 a person shaped, hole beckons , deutzia blossoms,
 a pesky mosquito, though raised, in kyoto,
 a pheasant, loitering about peeks, in my gate,
 a pheasant cries, in the burned field look , an ancient pine,
 a pheasant cries, just when the blind man, crawls across the bridge,
 a pheasant cries, in the temple room's, dead center,
 a pheasant cries , bedded down in tall grass, a horse's face ,
 a pheasant cries , tucked alongside the thicket, a noodle shop,
 a pheasant cries , from the rice cake tub, from the wash tub,
 a pheasant cries , yesterday it wasn't there, mountain field,
 a pheasant cries , the teardrop rain, of umewaka day,
 a pheasant cries , burnt black yesterday, this ancient pine,
 a pheasant cries , soup steam wafts over, wild grasses,
 a pheasant cries ,  from here to the west, your hut's territory ,
 a pheasant crying, the old woman's plot of wheat too, all green,
 a pheasant rising, startles the man , withered fields,
 a pheasant rushing, to the mountain missing, his darling wife,
 a pigeon coos ,  that great thing spring, has passed ,
 a pigeon cries , even deep in the thousand islands, it's buddha's world,
 a pigeon pacing, at the edge of bamboo , the heat,
 a pile of firewood, a pile of rice bags , first winter rain,
 a pilgrim rides by, on a horse , clear fall weather,
 a pillow, for the fawn , azalea bush,
 a pine tree, like none other , a cold night,
 a place, short on mosquito swarms , sickle moon,
 a plover lives, in one of my walls , evening,
 a plover sings , with a rice bag on his head, he passes,
 a plowman facing, sunset , mount tsukuba,
 a plum blossom falls, to a low place , scar from burning wormwood,
 a plum branch in his hand, the tree grafting apprentice, bows,
 a plum drops, and then another , beads of dew,
 a poorly played flute, faintly faintly , spring mist,
 a popular song , from the bottom of the well, he joins in,
 a pounding pestle, completes the scene , a cold night,
 a praise buddha , pops to my lips , mushrooms,
 a praying mantis, at the base of mount fuji, clings,
 a precious harp, a beggar's flute, deep in mist,
 a present a present, a new year's present , her pink cheeks,
 a present for me , moon gazing then locking, my hut,
 a present from, amida buddha , one year older,
 a pretty bird, passes in silence , migrating,
 a pretty kite soars, a beggar's shack, below,
 a pretty sleeping mat, also in view , cloudburst,
 a pretty thing, on the beggarly vine , buds,
 a previous life's bond , little butterfly, on my sleeve asleep,
 a price tag, dangles from his body , plum blossoms,
 a prize winning chrysanthemum , the old man, weeps,
 a promising sound , silkworms in the tray, stuff themselves,
 a pufferfish soup lover, in the facing window , rented house,
 a pure land temple's, bell of old age , listen ,
 a quick dip, in the water bowl , locust,
 a quick dip, in the lake , locust,
 a quick inspection, of the well's bottom , little butterfly,
 a quick nap, for the clinging, hermit crab,
 a quick song, inside the lantern , katydid,
 a rain cloud, hides the mountain , a cold night,
 a rain shower , in her little mosquito net, touched by the breeze,
 a rain sprinkle they're off, to matsura lagoon , fireflies,
 a raindrop falls, he rubs his head , toad,
 a rainstorm , kisa lagoon's farmland, and kanman temple,
 a rainstorm , but on the 15th, of eighth month ,
 a rainstorm , running to the castle, village headman and sergeant,
 a rainy evening , my next door neighbor, pounding cloth,
 a rainy night , sizing up the potted, peony,
 a rear sitting room, no one enters , cherry blossoms,
 a red berry, in its beak posing , nightingale,
 a red leaf falls, showing off , summer trees,
 a reed thrush , mount tsukuba, in a corner of the sky,
 a reed thrush sings ,  the water thief is here , he's here ,
 a reedy place , in summer moonlight distant, cloth pounding,
 a reedy place , from the gate onward, gathering mushrooms,
 a river of broth, is steaming , spring moon,
 a rogue firework, explodes too , autumn festival,
 a row of houses , even melting snow, costs money,
 a rumble of thunder, in my empty stomach , summer field,
 a sack of buckwheat, goes with him , seeing off the pony,
 a sakaki tree planted, for good luck , cloth pounding,
 a samisen joins, the twelfth month singers , kyoto,
 a samurai , after an apology, a happy new year ,
 a sandal vendor, at the window morning's, cold beginning,
 a scarecrow stands , now the age, of moonlit nights ,
 a scary sight, worse than a wolf , winter rain leaking in,
 a school for praising, buddha , my hut's ivy,
 a scops owl laughs too, at his wig , mount kamiji,
 a servant in zen meditation, faces a wall , fifth month rain,
 a servant on holiday, behind me says a prayer , mount matchi,
 a serving tray for the bride, on the little straw mat , hailstones,
 a seven child ruckus, in withered fields , little house,
 a shelf of dolls, and pipe smoke , one scene,
 a shiny new year, has come again , for my lice,
 a shiver, runs up my spine , dew dripping down,
 a shiver , the deer in flight, now chases me ,
 a shock, to the arriving butterfly, a fence,
 a short summer night, of rejoicing , secluded village,
 a short sword, stuck in his loincloth , winter moon,
 a shortcut through, the temple with permission , spring butterfly,
 a shrike sings,  from now on no meat, no fish ,
 a shrike sings , rain puddles dry, on the back road,
 a shrike sings , seven days of sermons, one fart,
 a shrike's voice , did your bag of patience, break ,
 a sickle moon , hands groping, for pond snails,
